ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ISCRIZIONE;DESCRIZIONE_ISCRIZIONE;ISCRITTI_LAUREA;ISCRITTI_DOTTORATO;ISCRITTI_SPECIALIZZAZIONE;ISCRITTI_MASTER_PERFEZIONAMENTO
2008-2009;05806;"Roma - Università degli studi del ""Foro Italico""";T1 ;Totale iscritti;1615;53;0;36
2008-2009;05807;Roma - III Università degli studi;T1 ;Totale iscritti;34983;576;1139;1148
2008-2009;05808;"Roma - Università ""Campus Bio-Medico""";T1 ;Totale iscritti;1004;60;256;91
2008-2009;05809;Roma - Libera Università degli studi San Pio V;T1 ;Totale iscritti;1161;8;0;3803
2008-2009;05810;"Roma - Università telematica ""Guglielmo Marconi""";T1 ;Totale iscritti;7690;9;5;4913
2008-2009;05811;"Roma - Università telematica ""TEL.M.A.""";T1 ;Totale iscritti;679;0;0;1328
2008-2009;05812;Roma - Università Europea;T1 ;Totale iscritti;637;0;0;803
2008-2009;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";T1 ;Totale iscritti;2675;0;0;0
2008-2009;05814;Roma - Universitas Mercatorum;T1 ;Totale iscritti;139;0;0;0
2008-2009;05815;Roma - Università telematica delle Scienze Umane UNISU;T1 ;Totale iscritti;2336;0;0;984
2008-2009;06001;Cassino - Università degli studi;T1 ;Totale iscritti;10953;182;4;214
2008-2009;06201;Benevento - Università degli studi del Sannio;T1 ;Totale iscritti;7368;100;0;23
2008-2009;06202;"Benevento - Università telematica ""Giustino Fortunato""";T1 ;Totale iscritti;430;0;0;92
2008-2009;06301;"Napoli - Università degli studi ""Federico II""";T1 ;Totale iscritti;89444;1719;2728;1393
2008-2009;06302;"Napoli - Università degli studi ""Parthenope""";T1 ;Totale iscritti;17489;135;0;148
2008-2009;06303;"Napoli - Università degli studi ""L' Orientale""";T1 ;Totale iscritti;9819;178;219;35
2008-2009;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";T1 ;Totale iscritti;10993;37;1427;276
2008-2009;06306;Napoli - Seconda Università degli studi;T1 ;Totale iscritti;29596;538;1300;246
2008-2009;06307;"Napoli - Università telematica ""Pegaso""";T1 ;Totale iscritti;1228;0;0;2882
2008-2009;06501;Salerno - Università degli studi;T1 ;Totale iscritti;39988;506;777;268
2008-2009;06601;L'Aquila - Università degli studi;T1 ;Totale iscritti;23285;292;504;248
2008-2009;06701;Teramo - Università degli studi;T1 ;Totale iscritti;8673;150;195;1066
2008-2009;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;T1 ;Totale iscritti;29890;437;1204;596
2008-2009;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";T1 ;Totale iscritti;375;0;0;404
2008-2009;07001;Campobasso - Università degli studi del Molise;T1 ;Totale iscritti;9613;110;379;54
2008-2009;07101;Foggia - Università degli studi;T1 ;Totale iscritti;11182;158;334;388
2008-2009;07201;Bari - Università degli studi;T1 ;Totale iscritti;59962;1093;4056;881
2008-2009;07202;Bari - Politecnico;T1 ;Totale iscritti;10645;196;0;26
2008-2009;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";T1 ;Totale iscritti;1115;11;0;154
2008-2009;07501;Lecce - Università del Salento;T1 ;Totale iscritti;27264;689;150;126
2008-2009;07601;Potenza - Università degli studi della Basilicata;T1 ;Totale iscritti;8885;211;456;0
2008-2009;07801;Arcavacata di Rende - Università della Calabria;T1 ;Totale iscritti;28230;450;1034;1659
2008-2009;07901;"Catanzaro - Università degli studi ""Magna Grecia""";T1 ;Totale iscritti;11336;144;524;349
2008-2009;08001;Reggio Calabria - Università degli studi Mediterranea;T1 ;Totale iscritti;10167;239;93;39
2008-2009;08003;Reggio Calabria - Università per Stranieri;T1 ;Totale iscritti;-1;-1;-1;-1
2008-2009;08201;Palermo - Università degli studi;T1 ;Totale iscritti;63912;1295;2333;256
2008-2009;08301;Messina - Università degli studi;T1 ;Totale iscritti;31939;1001;2436;495
2008-2009;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";T1 ;Totale iscritti;4504;23;0;28
2008-2009;08701;Catania - Università degli studi;T1 ;Totale iscritti;60241;1088;2100;209
2008-2009;09001;Sassari - Università degli studi;T1 ;Totale iscritti;15312;373;564;53
2008-2009;09201;Cagliari - Università degli studi;T1 ;Totale iscritti;32667;480;1003;111
2009-2010;00101;Torino - Università degli studi;T1 ;Totale iscritti;63913;1302;1486;1227
2009-2010;00102;Torino - Politecnico;T1 ;Totale iscritti;26499;750;31;299
2009-2010;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1 ;Totale iscritti;9333;170;262;291
2009-2010;00401;Bra (CN) - Università di Scienze Gastronomiche;T1 ;Totale iscritti;237;0;0;50
2009-2010;00701;Aosta - Università degli studi;T1 ;Totale iscritti;1112;0;0;60
2009-2010;01001;Genova - Università degli studi;T1 ;Totale iscritti;35098;1025;972;859
2009-2010;01201;"Castellanza - Università ""Carlo Cattaneo""";T1 ;Totale iscritti;1789;18;0;419
2009-2010;01202;Varese - Università dell' Insubria;T1 ;Totale iscritti;9515;229;398;152
2009-2010;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1 ;Totale iscritti;4793;0;0;85
2009-2010;01501;Milano - Università degli studi;T1 ;Totale iscritti;58279;1464;2159;1410
2009-2010;01502;Milano - Politecnico;T1 ;Totale iscritti;35451;914;20;1398
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1 ;Totale iscritti;12925;140;0;1213
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1 ;Totale iscritti;40429;689;1246;2454
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1 ;Totale iscritti;4423;57;0;288
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;T1 ;Totale iscritti;1968;191;337;47
2009-2010;01509;Milano-Bicocca - Università degli studi;T1 ;Totale iscritti;30725;653;454;430
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";T1 ;Totale iscritti;262;0;0;0
2009-2010;01601;Bergamo - Università degli studi;T1 ;Totale iscritti;14729;239;0;371
2009-2010;01701;Brescia - Università degli studi;T1 ;Totale iscritti;14512;186;599;191
2009-2010;01801;Pavia - Università degli studi;T1 ;Totale iscritti;22210;643;1081;285
2009-2010;01802;Pavia - Istituto universitario di studi superiori;T1 ;Totale iscritti;0;49;0;94
2009-2010;02101;Bolzano - Libera Università;T1 ;Totale iscritti;2989;53;16;49
2009-2010;02201;Trento - Università degli studi;T1 ;Totale iscritti;15590;539;65;99
2009-2010;02301;Verona - Università degli studi;T1 ;Totale iscritti;23940;585;806;713
2009-2010;02701;"Venezia - Università degli studi ""Cà Foscari""";T1 ;Totale iscritti;19109;383;3;644
2009-2010;02702;Venezia - Università IUAV;T1 ;Totale iscritti;5987;139;0;4
2009-2010;02801;Padova - Università degli studi;T1 ;Totale iscritti;61635;1579;1647;1646
2009-2010;03001;Udine - Università degli studi;T1 ;Totale iscritti;16192;462;332;121
2009-2010;03201;Trieste - Università degli studi;T1 ;Totale iscritti;15776;393;388;306
2009-2010;03202;Trieste - Scuola internazionale superiore di studi avanzati;T1 ;Totale iscritti;0;234;0;33
2009-2010;03401;Parma - Università degli studi;T1 ;Totale iscritti;29676;477;369;148
2009-2010;03601;Modena e Reggio Emilia - Università degli studi;T1 ;Totale iscritti;18423;455;393;424
2009-2010;03701;Bologna - Università degli studi;T1 ;Totale iscritti;74835;1750;1302;1735
2009-2010;03801;Ferrara - Università degli studi;T1 ;Totale iscritti;17922;354;419;368
2009-2010;04101;"Urbino - Università degli studi ""Carlo Bo""";T1 ;Totale iscritti;14738;227;50;362
2009-2010;04201;Ancona - Università Politecnica delle Marche;T1 ;Totale iscritti;16766;432;411;332
2009-2010;04301;Macerata - Università degli studi;T1 ;Totale iscritti;11427;249;94;455
2009-2010;04302;Camerino - Università degli studi;T1 ;Totale iscritti;8268;209;128;368
2009-2010;04601;Lucca - Scuola IMT Alti Studi;T1 ;Totale iscritti;0;123;0;0
2009-2010;04801;Firenze - Università degli studi;T1 ;Totale iscritti;56586;1293;942;3026
2009-2010;04803;Firenze - Istituto Italiano di Scienze Umane;T1 ;Totale iscritti;0;203;0;0
2009-2010;04804;"Firenze - Università telematica ""Italian University line""";T1 ;Totale iscritti;34;0;0;183
2009-2010;05001;Pisa - Università degli studi;T1 ;Totale iscritti;48650;898;971;1174
2009-2010;05002;Pisa - Scuola normale superiore;T1 ;Totale iscritti;266;220;0;0
2009-2010;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";T1 ;Totale iscritti;264;304;0;141
2009-2010;05201;Siena - Università degli studi;T1 ;Totale iscritti;17262;938;648;843
2009-2010;05202;Siena - Università per stranieri;T1 ;Totale iscritti;647;29;50;101
2009-2010;05401;Perugia - Università degli studi;T1 ;Totale iscritti;30943;550;767;251
2009-2010;05403;Perugia - Università per stranieri;T1 ;Totale iscritti;1736;15;0;77
2009-2010;05601;Viterbo - Università della Tuscia;T1 ;Totale iscritti;9123;299;36;486
2009-2010;05801;"Roma - Università degli studi ""La Sapienza""";T1 ;Totale iscritti;135077;2956;3371;2400
2009-2010;05802;"Roma - Università degli studi di ""Tor Vergata""";T1 ;Totale iscritti;35454;1429;1011;3347
2009-2010;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);T1 ;Totale iscritti;7355;46;109;400
2009-2010;05805;Roma - Libera Università internazionale degli studi sociali Guido Carli (LUISS);T1 ;Totale iscritti;7493;165;156;263
2009-2010;05806;"Roma - Università degli studi del ""Foro Italico""";T1 ;Totale iscritti;1601;51;0;59
2009-2010;05807;Roma - III Università degli studi;T1 ;Totale iscritti;35325;600;198;1373
2009-2010;05808;"Roma - Università ""Campus Bio-Medico""";T1 ;Totale iscritti;1096;73;254;216
2009-2010;05809;Roma - Libera Università degli studi San Pio V;T1 ;Totale iscritti;1246;8;0;5011
2009-2010;05810;"Roma - Università telematica ""Guglielmo Marconi""";T1 ;Totale iscritti;8023;0;77;3586
2009-2010;05811;"Roma - Università telematica ""TEL.M.A.""";T1 ;Totale iscritti;-3;-3;-3;-3
2009-2010;05812;Roma - Università Europea;T1 ;Totale iscritti;804;0;0;464
2009-2010;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";T1 ;Totale iscritti;3365;0;0;237
2009-2010;05814;Roma - Universitas Mercatorum;T1 ;Totale iscritti;122;0;0;0
2009-2010;05815;Roma - Università telematica delle Scienze Umane UNISU;T1 ;Totale iscritti;5409;0;0;5406
2009-2010;06001;Cassino - Università degli studi;T1 ;Totale iscritti;10597;145;0;26
2009-2010;06201;Benevento - Università degli studi del Sannio;T1 ;Totale iscritti;6651;116;0;0
2009-2010;06202;"Benevento - Università telematica ""Giustino Fortunato""";T1 ;Totale iscritti;432;0;0;42
2009-2010;06301;"Napoli - Università degli studi ""Federico II""";T1 ;Totale iscritti;88487;1646;2114;1328
2009-2010;06302;"Napoli - Università degli studi ""Parthenope""";T1 ;Totale iscritti;16888;158;0;221
2009-2010;06303;"Napoli - Università degli studi ""L' Orientale""";T1 ;Totale iscritti;10254;164;0;121
2009-2010;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";T1 ;Totale iscritti;10588;16;147;224
2009-2010;06306;Napoli - Seconda Università degli studi;T1 ;Totale iscritti;30120;534;1077;256
2009-2010;06307;"Napoli - Università telematica ""Pegaso""";T1 ;Totale iscritti;2393;0;0;5043
2009-2010;06501;Salerno - Università degli studi;T1 ;Totale iscritti;36711;722;213;410
2009-2010;06601;L'Aquila - Università degli studi;T1 ;Totale iscritti;23293;311;484;324
2009-2010;06701;Teramo - Università degli studi;T1 ;Totale iscritti;8549;124;170;746
2009-2010;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;T1 ;Totale iscritti;31955;458;727;537
2009-2010;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";T1 ;Totale iscritti;365;0;0;481
2009-2010;07001;Campobasso - Università degli studi del Molise;T1 ;Totale iscritti;9615;90;38;94
2009-2010;07101;Foggia - Università degli studi;T1 ;Totale iscritti;11494;149;302;363
2009-2010;07201;Bari - Università degli studi;T1 ;Totale iscritti;52478;1042;1706;920
2009-2010;07202;Bari - Politecnico;T1 ;Totale iscritti;11923;200;0;14
2009-2010;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";T1 ;Totale iscritti;1213;28;70;137
2009-2010;07501;Lecce - Università del Salento;T1 ;Totale iscritti;25895;595;135;160
2009-2010;07601;Potenza - Università degli studi della Basilicata;T1 ;Totale iscritti;9337;188;29;0
2009-2010;07801;Arcavacata di Rende - Università della Calabria;T1 ;Totale iscritti;35884;444;77;1066
2009-2010;07901;"Catanzaro - Università degli studi ""Magna Grecia""";T1 ;Totale iscritti;11447;149;615;114
2009-2010;08001;Reggio Calabria - Università degli studi Mediterranea;T1 ;Totale iscritti;10071;241;104;105
2009-2010;08003;Reggio Calabria - Università per Stranieri;T1 ;Totale iscritti;250;0;0;29
2009-2010;08201;Palermo - Università degli studi;T1 ;Totale iscritti;61147;783;1196;313
2009-2010;08301;Messina - Università degli studi;T1 ;Totale iscritti;30111;911;1074;405
2009-2010;08601;"Enna - Libera Università della Sicilia Centrale ""KORE""";T1 ;Totale iscritti;5181;25;0;73
2009-2010;08701;Catania - Università degli studi;T1 ;Totale iscritti;59550;946;1250;195
2009-2010;09001;Sassari - Università degli studi;T1 ;Totale iscritti;16036;374;549;73
2009-2010;09201;Cagliari - Università degli studi;T1 ;Totale iscritti;32751;431;890;266
2010-2011;00101;Torino - Università degli studi;T1 ;Totale iscritti;64288;1153;1463;1434
2010-2011;00102;Torino - Politecnico;T1 ;Totale iscritti;27175;773;28;285
2010-2011;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1 ;Totale iscritti;9309;173;236;167
2010-2011;00401;Bra (CN) - Università di Scienze Gastronomiche;T1 ;Totale iscritti;243;0;0;74
2010-2011;00701;Aosta - Università degli studi;T1 ;Totale iscritti;1156;0;0;0
2010-2011;01001;Genova - Università degli studi;T1 ;Totale iscritti;35354;1068;953;543
2010-2011;01201;"Castellanza - Università ""Carlo Cattaneo""";T1 ;Totale iscritti;1815;26;0;452
2010-2011;01202;Varese - Università dell' Insubria;T1 ;Totale iscritti;9244;220;366;68
2010-2011;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1 ;Totale iscritti;6006;0;0;136
2010-2011;01501;Milano - Università degli studi;T1 ;Totale iscritti;59890;1374;2297;1572
2010-2011;01502;Milano - Politecnico;T1 ;Totale iscritti;36722;980;15;1284
2010-2011;01503;"Milano - Università commerciale ""Luigi Bocconi""";T1 ;Totale iscritti;13065;125;0;1105
2010-2011;01504;"Milano - Università Cattolica del ""Sacro Cuore""";T1 ;Totale iscritti;40121;675;1193;2294
2010-2011;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);T1 ;Totale iscritti;4361;59;0;306
2010-2011;01508;Milano - Università Vita-Salute San Raffaele;T1 ;Totale iscritti;1942;185;322;82
2010-2011;01509;Milano-Bicocca - Università degli studi;T1 ;Totale iscritti;30692;653;454;430
2010-2011;01601;Bergamo - Università degli studi;T1 ;Totale iscritti;14615;284;0;216
2010-2011;01701;Brescia - Università degli studi;T1 ;Totale iscritti;14457;200;564;242
2010-2011;01801;Pavia - Università degli studi;T1 ;Totale iscritti;22148;662;1016;315
2010-2011;01802;Pavia - Istituto universitario di studi superiori;T1 ;Totale iscritti;0;54;0;75
2010-2011;02101;Bolzano - Libera Università;T1 ;Totale iscritti;3157;68;0;58
2010-2011;02201;Trento - Università degli studi;T1 ;Totale iscritti;16042;552;87;73
2010-2011;02301;Verona - Università degli studi;T1 ;Totale iscritti;22573;935;878;663
2010-2011;02701;"Venezia - Università degli studi ""Cà Foscari""";T1 ;Totale iscritti;18611;383;0;502
2010-2011;02702;Venezia - Università IUAV;T1 ;Totale iscritti;6152;149;0;94
2010-2011;02801;Padova - Università degli studi;T1 ;Totale iscritti;61290;1556;1584;1464
2010-2011;03001;Udine - Università degli studi;T1 ;Totale iscritti;15502;447;334;146
2010-2011;03201;Trieste - Università degli studi;T1 ;Totale iscritti;18836;379;379;306
2010-2011;03202;Trieste - Scuola internazionale superiore di studi avanzati;T1 ;Totale iscritti;0;230;0;32
2010-2011;03401;Parma - Università degli studi;T1 ;Totale iscritti;29486;445;259;701
2010-2011;03601;Modena e Reggio Emilia - Università degli studi;T1 ;Totale iscritti;18234;418;369;422
2010-2011;03701;Bologna - Università degli studi;T1 ;Totale iscritti;78377;1696;1229;1799
2010-2011;03801;Ferrara - Università degli studi;T1 ;Totale iscritti;17571;372;406;476
2010-2011;04101;"Urbino - Università degli studi ""Carlo Bo""";T1 ;Totale iscritti;14232;201;48;233
2010-2011;04201;Ancona - Università Politecnica delle Marche;T1 ;Totale iscritti;16123;376;414;283
2010-2011;04301;Macerata - Università degli studi;T1 ;Totale iscritti;11042;260;100;329
2010-2011;04302;Camerino - Università degli studi;T1 ;Totale iscritti;7845;184;110;318
2010-2011;04601;Lucca - Scuola IMT Alti Studi;T1 ;Totale iscritti;0;103;0;0
2010-2011;04801;Firenze - Università degli studi;T1 ;Totale iscritti;55839;1107;1078;2738
2010-2011;04803;Firenze - Istituto Italiano di Scienze Umane;T1 ;Totale iscritti;0;165;0;0
2010-2011;04804;"Firenze - Università telematica ""Italian University line""";T1 ;Totale iscritti;21;0;0;105
2010-2011;05001;Pisa - Università degli studi;T1 ;Totale iscritti;48819;783;971;1296
2010-2011;05002;Pisa - Scuola normale superiore;T1 ;Totale iscritti;270;216;0;0
2010-2011;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";T1 ;Totale iscritti;265;318;0;166
2010-2011;05201;Siena - Università degli studi;T1 ;Totale iscritti;16811;849;604;911
2010-2011;05202;Siena - Università per stranieri;T1 ;Totale iscritti;694;30;43;65
2010-2011;05401;Perugia - Università degli studi;T1 ;Totale iscritti;29887;456;708;137
2010-2011;05403;Perugia - Università per stranieri;T1 ;Totale iscritti;1491;21;0;104
2010-2011;05601;Viterbo - Università della Tuscia;T1 ;Totale iscritti;8885;276;35;231
2010-2011;05801;"Roma - Università degli studi ""La Sapienza""";T1 ;Totale iscritti;129788;3031;3353;2368
2010-2011;05802;"Roma - Università degli studi di ""Tor Vergata""";T1 ;Totale iscritti;34096;1516;1048;2703
2010-2011;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);T1 ;Totale iscritti;7338;47;125;182
2010-2011;05805;Roma - Libera Università internazionale degli studi sociali Guido Carli (LUISS);T1 ;Totale iscritti;7727;163;139;444
2010-2011;05806;"Roma - Università degli studi del ""Foro Italico""";T1 ;Totale iscritti;1807;43;0;0
2010-2011;05807;Roma - III Università degli studi;T1 ;Totale iscritti;35263;610;194;987
2010-2011;05808;"Roma - Università ""Campus Bio-Medico""";T1 ;Totale iscritti;1344;81;249;124
2010-2011;05809;Roma - Libera Università degli Studi Per l'Innovazione e le Organizzazioni;T1 ;Totale iscritti;1327;4;0;12121
2010-2011;05810;"Roma - Università telematica ""Guglielmo Marconi""";T1 ;Totale iscritti;10736;19;79;1851
2010-2011;05811;"Roma - Università telematica ""Unitelma Sapienza""";T1 ;Totale iscritti;1235;0;0;2222
2010-2011;05812;Roma - Università Europea;T1 ;Totale iscritti;742;9;0;1822
2010-2011;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";T1 ;Totale iscritti;6719;0;0;29
2010-2011;05814;Roma - Universitas Mercatorum;T1 ;Totale iscritti;209;0;0;0
2010-2011;05815;Roma - Università telematica delle Scienze Umane UNISU;T1 ;Totale iscritti;9620;0;0;3098
2010-2011;05816;"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""";T1 ;Totale iscritti;412;0;0;1435
2010-2011;06001;Cassino - Università degli studi;T1 ;Totale iscritti;10314;140;1;122
2010-2011;06201;Benevento - Università degli studi del Sannio;T1 ;Totale iscritti;6630;121;0;64
2010-2011;06202;"Benevento - Università telematica ""Giustino Fortunato""";T1 ;Totale iscritti;501;0;0;210
2010-2011;06301;"Napoli - Università degli studi ""Federico II""";T1 ;Totale iscritti;87964;1519;1775;1348
2010-2011;06302;"Napoli - Università degli studi ""Parthenope""";T1 ;Totale iscritti;17024;120;0;197
2010-2011;06303;"Napoli - Università degli studi ""L' Orientale""";T1 ;Totale iscritti;9621;138;0;67
2010-2011;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";T1 ;Totale iscritti;9953;20;108;396
2010-2011;06306;Napoli - Seconda Università degli studi;T1 ;Totale iscritti;29740;507;1074;185
2010-2011;06307;"Napoli - Università telematica ""Pegaso""";T1 ;Totale iscritti;3225;0;0;5878
2010-2011;06501;Salerno - Università degli studi;T1 ;Totale iscritti;35769;500;195;257
2010-2011;06601;L'Aquila - Università degli studi;T1 ;Totale iscritti;24156;349;426;434
2010-2011;06701;Teramo - Università degli studi;T1 ;Totale iscritti;8116;120;168;944
2010-2011;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;T1 ;Totale iscritti;32351;460;703;652
2010-2011;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";T1 ;Totale iscritti;371;0;0;481
2010-2011;07001;Campobasso - Università degli studi del Molise;T1 ;Totale iscritti;8461;90;28;25
2010-2011;07101;Foggia - Università degli studi;T1 ;Totale iscritti;11421;129;251;199
2010-2011;07201;Bari - Università degli studi;T1 ;Totale iscritti;50694;899;1569;700
2010-2011;07202;Bari - Politecnico;T1 ;Totale iscritti;11692;131;0;17
2010-2011;07203;"Casamassima - Libera Università Mediterranea ""Jean Monnet""";T1 ;Totale iscritti;1337;46;273;55
2010-2011;07501;Lecce - Università del Salento;T1 ;Totale iscritti;24338;352;162;232
2010-2011;07601;Potenza - Università degli studi della Basilicata;T1 ;Totale iscritti;8852;165;32;5
2010-2011;07801;Arcavacata di Rende - Università della Calabria;T1 ;Totale iscritti;34934;421;83;988
2010-2011;07901;"Catanzaro - Università degli studi ""Magna Grecia""";T1 ;Totale iscritti;10564;167;578;257
2010-2011;08001;Reggio Calabria - Università degli studi Mediterranea;T1 ;Totale iscritti;9586;225;117;80
